Title,Available Globally?,Release Date,Hours Viewed,Language Indicator,Content Type,Content ID,Language_ID,ContentType_ID
The Night Agent: Season 1,Yes,2023-03-23,812100000,English,Show,0,0,1
Ginny & Georgia: Season 2,Yes,2023-01-05,665100000,English,Show,1,0,1
The Glory: Season 1 // 더 글로리: 시즌 1,Yes,2022-12-30,622800000,Korean,Show,2,3,1
Wednesday: Season 1,Yes,2022-11-23,507700000,English,Show,3,0,1
Queen Charlotte: A Bridgerton Story,Yes,2023-05-04,503000000,English,Movie,4,0,0
You: Season 4,Yes,2023-02-09,440600000,English,Show,5,0,1
La Reina del Sur: Season 3,No,2022-12-30,429600000,English,Show,6,0,1
Outer Banks: Season 3,Yes,2023-02-23,402500000,English,Show,7,0,1
Ginny & Georgia: Season 1,Yes,2021-02-24,302100000,English,Show,8,0,1
FUBAR: Season 1,Yes,2023-05-25,266200000,English,Show,9,0,1
Manifest: Season 4,Yes,2022-11-04,262600000,English,Show,10,0,1
Kaleidoscope: Limited Series,Yes,2023-01-01,252500000,English,Movie,11,0,0
Firefly Lane: Season 2,Yes,2022-12-02,251500000,English,Show,12,0,1
The Mother,Yes,2023-05-12,249900000,English,Movie,13,0,0
Physical: 100: Season 1 // 피지컬: 100: 시즌 1,Yes,2023-01-24,235000000,Korean,Show,14,3,1
Crash Course in Romance: Limited Series // 일타 스캔들: 리미티드 시리즈,Yes,2023-01-14,234800000,Korean,Movie,15,3,0
Love Is Blind: Season 4,Yes,2023-03-24,229700000,English,Show,16,0,1
BEEF: Season 1,Yes,2023-04-06,221100000,English,Show,17,0,1
The Diplomat: Season 1,Yes,2023-04-20,214100000,English,Show,18,0,1
Luther: The Fallen Sun,Yes,2023-03-10,209700000,English,Movie,19,0,0
Fake Profile: Season 1 // Perfil falso: Temporada 1,No,2023-05-31,206500000,English,Show,20,0,1
Vikings: Valhalla: Season 2,Yes,2023-01-12,205500000,English,Show,21,0,1
Extraction 2,Yes,2023-06-16,201800000,English,Movie,22,0,0
"XO, Kitty: Season 1",Yes,2023-05-18,200700000,English,Show,23,0,1
Doctor Cha: Limited Series // 닥터 차정숙: 리미티드 시리즈,Yes,2023-04-15,194700000,Korean,Movie,24,3,0
Shadow and Bone: Season 2,Yes,2023-03-16,192900000,English,Show,25,0,1
Outer Banks: Season 1,Yes,2020-04-15,184000000,English,Show,26,0,1
Sweet Tooth: Season 2,Yes,2023-04-27,182300000,English,Show,27,0,1
You People,Yes,2023-01-27,181800000,English,Movie,28,0,0
Perfect Match: Season 1,Yes,2023-02-14,176800000,English,Show,29,0,1
Sex/Life: Season 2,Yes,2023-03-02,175500000,English,Show,30,0,1
The Marked Heart: Season 2 // Pálpito: Temporada 2,Yes,2023-04-19,174300000,Non-English,Show,31,4,1
Murder Mystery 2,Yes,2023-03-31,173600000,English,Movie,32,0,0
The Surrogacy: Season 1 // Madre de alquiler: Temporada 1,No,2023-06-14,172400000,English,Show,33,0,1
Never Have I Ever: Season 4,Yes,2023-06-08,168300000,English,Show,34,0,1
Your Place or Mine,Yes,2023-02-10,163000000,English,Movie,35,0,0
Emily in Paris: Season 3,Yes,2022-12-21,161100000,English,Show,36,0,1
Alice in Borderland: Season 2 // 今際の国のアリス: シーズン2,Yes,2022-12-22,157600000,Japanese,Show,37,2,1
Alchemy of Souls: Part 1 // 환혼: 파트 1,Yes,2022-06-18,155300000,Korean,Movie,38,3,0
Outer Banks: Season 2,Yes,2021-07-30,153900000,English,Show,39,0,1
Til Money Do Us Part: Season 1 // Hasta que la plata nos separe: Temporada 1,No,2022-10-19,152100000,English,Show,40,0,1
Manifest: Season 1,No,2021-06-10,151400000,English,Show,41,0,1
Alchemy of Souls: Part 2 // 환혼: 파트 2,Yes,2022-12-10,150200000,Korean,Movie,42,3,0
The Good Bad Mother: Limited Series // 나쁜엄마: 리미티드 시리즈,Yes,2023-04-26,148600000,Korean,Movie,43,3,0
The Recruit: Season 1,Yes,2022-12-16,146900000,English,Show,44,0,1
Bloodhounds: Season 1 // 사냥개들: 시즌 1,Yes,2023-06-09,146700000,Korean,Show,45,3,1
Glass Onion: A Knives Out Mystery,Yes,2022-12-23,142900000,English,Movie,46,0,0
Wrong Side of the Tracks: Season 2 // Entrevías: Temporada 2,No,2023-03-01,140100000,Non-English,Show,47,4,1
Black Mirror: Season 6,Yes,2023-06-15,139900000,English,Show,48,0,1
Triptych: Season 1 // Tríada: Temporada 1,Yes,2023-02-22,139300000,Non-English,Show,49,4,1
Bridgerton: Season 1,Yes,2020-12-25,136600000,English,Show,50,0,1
CoComelon: Season 1,No,2020-05-31,136200000,English,Show,51,0,1
Extraordinary Attorney Woo: Season 1 // 이상한 변호사 우영우: 시즌 1,Yes,2022-06-29,135900000,Korean,Show,52,3,1
The Snow Girl: Season 1 // La chica de nieve: Temporada 1,Yes,2023-01-27,134800000,English,Show,53,0,1
Stranger Things 4,Yes,2022-05-27,133600000,English,Movie,54,0,0
The Marked Heart: Season 1 // Pálpito: Temporada 1,Yes,2022-04-20,133500000,Non-English,Show,55,4,1
Bridgerton: Season 2,Yes,2022-03-25,133400000,English,Show,56,0,1
Sex/Life: Season 1,Yes,2021-06-25,126400000,English,Show,57,0,1
We Have a Ghost,Yes,2023-02-24,124400000,English,Movie,58,0,0
You: Season 1,Yes,2018-12-26,123500000,English,Show,59,0,1
Business Proposal: Season 1 // 사내맞선: 시즌 1,Yes,2022-02-28,120700000,Korean,Show,60,3,1
The Pale Blue Eye,Yes,2023-01-06,120500000,English,Movie,61,0,0
Crash Landing on You: Season 1 // 사랑의 불시착: 시즌 1,Yes,2019-12-14,120300000,Korean,Show,62,3,1
AKA,Yes,2023-04-28,120000000,English,Movie,63,0,0
MH370: The Plane That Disappeared: Limited Series,Yes,2023-03-08,118900000,English,Movie,64,0,0
Queenmaker: Season 1 // 퀸메이커: 시즌 1,Yes,2023-04-14,118600000,Korean,Show,65,3,1
Vikings: Valhalla: Season 1,Yes,2022-02-25,116500000,English,Show,66,0,1
Muted: Limited Series // El silencio: Miniserie,Yes,2023-05-19,115800000,English,Movie,67,0,0
